Nombre,Email,Promoción,Fecha_comienzo,Campus,Proyecto_HLF,Proyecto_EDA,Proyecto_BBDD,Proyecto_ML,Proyecto_Deployment,Vertical,Proyecto_WebDev,Proyecto_FrontEnd,Proyecto_Backend,Proyecto_React,ProyectoFullStack
Ester Sánchez,Ester_Sánchez@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,Apto,Apto,No Apto,Apto
Estrella Murillo,Estrella_Murillo@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,No Apto,Apto,Apto
Flavia Amador,Flavia_Amador@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,No Apto,Apto,Apto
Guillermo Borrego,Guillermo_Borrego@gmail.com,Febrero,12/02/2024,Madrid,Apto,No Apto,No Apto,Apto,No Apto,Data Science,,,,,
Haydée Figueroa,Haydée_Figueroa@gmail.com,Febrero,12/02/2024,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Heraclio Duque,Heraclio_Duque@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,No Apto,No Apto,No Apto
Herberto Figueras,Herberto_Figueras@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,Apto,Apto,Apto
Ignacio Goicoechea,Ignacio_Goicoechea@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,No Apto,Apto,Data Science,,,,,
Isabel Ibáñez,Isabel_Ibáñez@gmail.com,Febrero,12/02/2024,Madrid,No Apto,Apto,No Apto,Apto,Apto,Data Science,,,,,
Jafet Casals,Jafet_Casals@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Joaquina Asensio,Joaquina_Asensio@gmail.com,Febrero,12/02/2024,Madrid,No Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Jorge Manzanares,Jorge_Manzanares@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Julie Ferrer,Julie_Ferrer@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,No Apto,No Apto,Apto,No Apto
Leoncio Tena,Leoncio_Tena@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Loida Arellano,Loida_Arellano@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,Apto,Apto,Apto,Apto,Apto
Luis Miguel Galvez,Luis_Miguel_Galvez@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,Apto,Apto,Apto,Apto
Marino Castilla,Marino_Castilla@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,No Apto,No Apto,Apto,No Apto,No Apto
Maximiliano Menéndez,Maximiliano_Menéndez@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Merche Prada,Merche_Prada@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,No Apto,Apto,No Apto,Data Science,,,,,
Mireia Cabañas,Mireia_Cabañas@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,Apto,Apto,Apto,Apto
Noemí Vilanova,Noemí_Vilanova@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,No Apto,No Apto,Apto,Apto
Odalys Torrijos,Odalys_Torrijos@gmail.com,Septiembre,18/09/2023,Madrid,No Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Onofre Adadia,Onofre_Adadia@gmail.com,Septiembre,18/09/2023,Madrid,Apto,Apto,Apto,No Apto,Apto,Data Science,,,,,
Pilar Abella,Pilar_Abella@gmail.com,Septiembre,18/09/2023,Madrid,Apto,No Apto,Apto,Apto,Apto,Data Science,,,,,
Ricarda Tovar,Ricarda_Tovar@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,Apto,Apto,Apto
Rita Olivares,Rita_Olivares@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,No Apto,No Apto,No Apto,Apto,Apto
Rosalina Llanos,Rosalina_Llanos@gmail.com,Febrero,12/02/2024,Madrid,Apto,Apto,Apto,Apto,Apto,Data Science,,,,,
Sergio Aguirre,Sergio_Aguirre@gmail.com,Febrero,12/02/2024,Madrid,Apto,No Apto,Apto,Apto,No Apto,Data Science,,,,,
Teodoro Alberola,Teodoro_Alberola@gmail.com,Septiembre,18/09/2023,Madrid,,,,,,Full Stack,No Apto,No Apto,Apto,No Apto,Apto
Teresa Laguna,Teresa_Laguna@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,Apto,Apto,Apto,Apto,Apto
Timoteo Trillo,Timoteo_Trillo@gmail.com,Febrero,12/02/2024,Valencia,,,,,,Full Stack,No Apto,Apto,Apto,Apto,No Apto
